dataset_tag,video_id,duration_min,speaking_words_count,avg_speaking_speed_wpm,scenes_count,avg_scene_change_per_min,average_percentage_viewed
newcastle_engg2440_lecture_level2_agregg_2025,Cb3mbo0iMkM,3.25,688,211.95,23,7.09,70.25
newcastle_engg2440_lecture_level2_agregg_2025,IXug_xDPxdQ,3.12,709,227.18,20,6.41,73.26
newcastle_engg2440_lecture_level2_agregg_2025,dJrGo6rb5cM,3.0,653,217.81,7,2.33,66.1
newcastle_engg2440_lecture_level2_agregg_2025,zTA0K05WPeU,4.48,1000,223.38,13,2.9,76.13
newcastle_engg2440_lecture_level2_agregg_2025,tOK-3gow_fA,4.03,808,200.69,14,3.48,72.28
newcastle_engg2440_lecture_level2_agregg_2025,sEE33_YIgys,4.21,869,206.45,11,2.61,73.65
newcastle_engg2440_lecture_level2_agregg_2025,xNi7e0uXBzY,2.0,402,200.58,1,0.5,76.47
newcastle_engg2440_lecture_level2_agregg_2025,EPrZOaESIXI,3.31,656,198.06,5,1.51,75.31
newcastle_engg2440_lecture_level2_agregg_2025,JU7xZh_1kMA,2.9,636,219.05,1,0.34,77.46
newcastle_engg2440_lecture_level2_agregg_2025,d-dzoc3j8Xk,2.73,576,211.04,8,2.93,77.92
newcastle_engg2440_lecture_level2_agregg_2025,jYC0ZWXZPOU,3.77,831,220.24,5,1.33,69.22
newcastle_engg2440_lecture_level2_agregg_2025,-2lWMIpLLOY,4.39,884,201.44,5,1.14,71.2
newcastle_engg2440_lecture_level2_agregg_2025,MX1Wy7dUI9s,2.26,464,205.46,5,2.21,75.23
newcastle_engg2440_lecture_level2_agregg_2025,PWkr63T-gCY,3.21,652,203.05,11,3.43,73.98
newcastle_engg2440_lecture_level2_agregg_2025,ox2zlqA2wQk,4.41,939,213.06,5,1.13,71.25
newcastle_engg2440_lecture_level2_agregg_2025,-Rj6siMAaKo,5.3,1075,202.69,7,1.32,68.51
newcastle_engg2440_lecture_level2_agregg_2025,gHjxPhhRIJk,2.63,517,196.34,1,0.38,73.32
newcastle_engg2440_lecture_level2_agregg_2025,BZhE-wsrT_M,1.95,416,213.01,0,0.0,73.07
newcastle_engg2440_lecture_level2_agregg_2025,p7-ZduHd9pw,6.97,1392,199.85,2,0.29,56.23
newcastle_engg2440_lecture_level2_agregg_2025,P6_iWVh4rws,3.47,709,204.09,3,0.86,70.55
newcastle_engg2440_lecture_level2_agregg_2025,d3T_bD5_c7U,2.28,450,197.56,3,1.32,70.23
newcastle_engg2440_lecture_level2_agregg_2025,X95pgcvB-eI,2.28,451,197.85,1,0.44,67.91
newcastle_engg2440_lecture_level2_agregg_2025,fJxdriXPDtI,4.3,869,201.89,10,2.32,72.22
newcastle_engg2440_lecture_level2_agregg_2025,RRPvfy00Kao,2.89,644,222.53,4,1.38,66.51
newcastle_engg2440_lecture_level2_agregg_2025,32SoHr3odY0,2.31,466,202.17,11,4.77,77.21
newcastle_engg2440_lecture_level2_agregg_2025,FkJg-PdAVZU,4.63,883,190.84,10,2.16,71.78
newcastle_engg2440_lecture_level2_agregg_2025,xAH4KdZuA1Q,4.4,939,213.28,5,1.14,55.47
newcastle_engg2440_lecture_level2_agregg_2025,UxNJZpYj_PA,4.01,781,196.08,0,0.0,61.86
newcastle_engg2440_lecture_level2_agregg_2025,PDBK7QD2H8M,4.61,962,208.77,5,1.09,57.73
newcastle_engg2440_lecture_level2_agregg_2025,YMq_P2jE684,3.01,603,200.65,1,0.33,58.2
newcastle_engg2440_lecture_level2_agregg_2025,7dSJVYxAf6s,3.71,721,194.44,3,0.81,69.31
newcastle_engg2440_lecture_level2_agregg_2025,EPy5gLaZQjU,8.58,1554,181.06,0,0.0,53.51
newcastle_engg2440_lecture_level2_agregg_2025,3sTThSkTxMQ,4.14,821,198.54,1,0.24,74.63
newcastle_engg2440_lecture_level2_agregg_2025,mqCdqQg3dKU,1.68,351,208.31,0,0.0,72.2
newcastle_engg2440_lecture_level2_agregg_2025,PBnAOXsika0,2.58,557,215.54,1,0.39,70.03
newcastle_engg2440_lecture_level2_agregg_2025,kqLYifkNn0g,3.22,664,206.33,0,0.0,59.08
newcastle_engg2440_lecture_level2_agregg_2025,Sq3Kp2Se_GE,4.77,1020,214.02,6,1.26,52.07
newcastle_engg2440_lecture_level2_agregg_2025,TBY2kPuLXgY,2.63,506,192.65,0,0.0,78.49
newcastle_engg2440_lecture_level2_agregg_2025,2I_dvbNQnNw,4.72,959,203.07,7,1.48,75.45
newcastle_engg2440_lecture_level2_agregg_2025,sWp_FrTv9YI,4.33,914,211.31,18,4.16,73.07
newcastle_engg2440_lecture_level2_agregg_2025,utYSmAbhpuM,3.23,618,191.44,7,2.17,59.46
newcastle_engg2440_lecture_level2_agregg_2025,9iUzqyj0G8Q,5.13,1101,214.61,31,6.04,68.84
newcastle_engg2440_lecture_level2_agregg_2025,9Eoor4RnTVE,3.58,749,209.17,1,0.28,68.64
newcastle_engg2440_lecture_level2_agregg_2025,vqbgCi6dm7A,3.65,765,209.83,11,3.02,72.84
newcastle_engg2440_lecture_level2_agregg_2025,wCX86S1tlKU,2.22,460,207.1,1,0.45,63.9
newcastle_engg2440_lecture_level2_agregg_2025,CRRtEvU0vig,4.73,961,203.21,4,0.85,56.5
newcastle_engg2440_lecture_level2_agregg_2025,QXSRuGMJ35A,2.86,584,204.2,1,0.35,70.96
newcastle_engg2440_lecture_level2_agregg_2025,EMPtaXgf9fU,2.35,480,203.86,1,0.42,72.61
newcastle_engg2440_lecture_level2_agregg_2025,x4tQ-nIj3u0,3.01,527,174.81,3,1.0,67.42
newcastle_engg2440_lecture_level2_agregg_2025,74xH0aAdq_w,4.78,891,186.3,5,1.05,67.56
newcastle_engg2440_lecture_level2_agregg_2025,QVlShh0pek8,7.07,1340,189.4,5,0.71,60.26
newcastle_engg2440_lecture_level2_agregg_2025,NU_b_14rdL0,8.73,1741,199.44,7,0.8,66.35
newcastle_engg2440_lecture_level2_agregg_2025,vWSJPcJ5e3o,4.14,834,201.36,25,6.04,52.73
newcastle_engg2440_lecture_level2_agregg_2025,eC8TxgSLVUE,3.08,433,148.18,31,10.05,54.55
